Name  ,Entry in The World Factbook ,Latitude(deg min) ,Longitude(deg min)
Bjornoya (Bear Island) ,Svalbard ,74 26 N ,19 05 E
Black Rock (island) ,South Georgia and the South Sandwich Islands ,53 39 S ,41 48 W
Boa Vista (island) ,Cape Verde ,16 05 N ,22 50 W
Bonaire (island) ,Netherlands Antilles ,12 10 N ,68 15 W
Bonin Islands ,Japan ,27 00 N ,142 10 E
Bora-Bora (island) ,French Polynesia ,16 30 S ,151 45 W
Borneo (island) ,"Brunei, Indonesia, Malaysia ",0 30 N ,114 00 E
Bornholm (island) ,Denmark ,55 10 N ,15 00 E
Bougainville (island) ,Papua New Guinea ,6 00 S ,155 00 E
Bounty Islands ,New Zealand ,47 43 S ,174 00 E
Bourbon Island (former name of Reunion) ,Reunion ,21 06 S ,55 36 E
British Solomon Islands (former name for Solomon Islands) ,Solomon Islands ,8 00 S ,159 00 E
Bubiyan (island) ,Kuwait ,29 47 N ,48 10 E
Caicos Islands ,Turks and Caicos Islands ,21 56 N ,71 58 W
Campbell Island ,New Zealand ,52 33 S ,169 09 E
Canary Islands ,Spain ,28 00 N ,15 30 W
Canton Island (Kanton Island) ,Kiribati ,2 49 S ,171 40 W
Caroline Islands ,"Federated States of Micronesia, Palau ",7 30 N ,148 00 E
Cato Island ,Australia ,23 15 S ,155 32 E
Celebes (island) ,Indonesia ,2 00 S ,121 00 E
"Chafarinas, Islas (island) ",Spain ,35 12 N ,2 26 W
Chagos Archipelago (Oil Islands) ,British Indian Ocean Territory ,6 00 S ,71 30 E
Channel Islands ,"Guernsey, Jersey ",49 20 N ,2 20 W
Charlotte Amalie (capital) ,Virgin Islands ,18 21 N ,64 56 W
Chatham Islands ,New Zealand ,44 00 S ,176 30 W
Cheju-do (island) ,"Korea, South ",33 20 N ,126 30 E
Chesterfield Islands (Iles Chesterfield) ,New Caledonia ,19 52 S ,158 15 E
Chiloe (island) ,Chile ,42 50 S ,74 00 W
Choiseul (island) ,Solomon Islands ,7 05 S ,121 00 E
Christmas Island (Indian Ocean) ,Australia ,10 25 S ,105 39 E
Christmas Island (Pacific Ocean; also Kiritimati) ,Kiribati ,1 52 N ,157 20 W
Chuuk Islands (Truk Islands) ,Federated States of Micronesia ,7 25 N ,151 47 W
"Coco, Isla del (island) ",Costa Rica ,5 32 N ,87 04 W
Cocos Islands ,Cocos (Keeling) Islands ,12 30 S ,96 50 E
"Colon, Archipielago de (Galapagos Islands) ",Ecuador ,0 00 N ,90 30 W
Commander Islands (Komandorskiye Ostrova) ,Russia ,55 00 N ,167 00 E
Con Son (islands) ,Vietnam ,8 43 N ,106 36 E
Corfu (island) ,Greece ,39 40 N ,19 45 E
Corisco (island) ,Equatorial Guinea ,0 55 N ,9 19 E
Corn Islands (Islas del Maiz) ,Nicaragua ,12 15 N ,83 00 W
Corocoro Island ,"Guyana, Venezuela ",3 38 N ,66 50 W
Corsica (island; also Corse) ,France ,42 00 N ,9 00 E
Cosmoledo Group (island group; also Atoll de Cosmoledo) ,Seychelles ,9 43 S ,47 35 E
Cozumel (island) ,Mexico ,20 30 N ,86 55 W
Crete (island) ,Greece ,35 15 N ,24 45 E
Crooked Island Passage ,Atlantic Ocean ,22 55 N ,74 35 W
Crozet Islands (Iles Crozet) ,French Southern and Antarctic Lands ,46 30 S ,51 00 E
Cyclades (island group) ,Greece ,37 00 N ,25 10 E
D'Entrecasteaux Islands  ,Papua New Guinea  ,9 30 S  ,150 40 E
Daito Islands ,Japan ,43 00 N ,17 00 E
Danger Islands (see Pukapuka Atoll) ,Cook Islands ,10 53 S ,165 49 W
Danish West Indies (former name for the Virgin Islands) ,Virgin Islands ,18 20 N ,64 50 W
Dao Bach Long Vi (island) ,Vietnam ,20 08 N ,107 44 E
Deception Island ,Antarctica ,62 56 S ,60 34 W
Desolation Islands (Isles Kerguelen) ,French Southern and Antarctic Lands ,49 30 S ,69 30 E
Devils Island (Ile du Diable) ,French Guiana ,5 17 N ,52 35 W
Devon Island ,Canada ,76 00 N ,87 00 W
Diego Garcia (island) ,British Indian Ocean Territory ,7 20 S ,72 25 E
Diego Ramirez (islands) ,Chile ,56 30 S ,68 43 W
Diomede Islands ,"Russia (Big Diomede), United States (Little Diomede) ",65 47 N ,169 00 W
Dodecanese (island group) ,Greece ,36 00 N ,27 05 E
East Frisian Islands ,Germany ,53 44 N ,7 25 E
Easter Island (Isla de Pascua) ,Chile ,27 07 S ,109 22 W
Elba (island) ,Italy ,42 46 N ,10 17 E
Ellef Ringnes Island ,Canada ,78 00 N ,103 00 W
Ellesmere Island ,Canada ,81 00 N ,80 00 W
Ellice Islands ,Tuvalu ,8 00 S ,178 00 E
"Elobey, Islas de (island group) ",Equatorial Guinea ,0 59 N ,9 33 E
Enderbury Island ,Kiribati ,3 08 S ,171 05 W
Enewetak Atoll (Eniwetok Atoll) ,Marshall Islands ,11 30 N ,162 15 E
Eniwetok Atoll (see Enewetak Atoll) ,Marshall Islands ,11 30 N ,162 15 E
"Eolie, Isole (island group) ",Italy ,38 30 N ,15 00 E
Etorofu (island; also Iturup) ,Russia (de facto) ,44 55 N ,147 40 E
Farquhar Group (island group; also Atoll de Farquhar)  ,Seychelles  ,10 10 S  ,51 10 E
Fernando Po (island; see Bioko) ,Equatorial Guinea ,3 30 N ,8 42 E
Fernando de Noronha (island group) ,Brazil ,3 51 S ,32 25 W
Flores (island) ,Indonesia ,8 45 S ,121 00 E
Fongafale (largest island of Funafuti) ,Tuvalu ,8 30 S ,179 12 E
Formosa (island) ,Taiwan ,23 30 N ,121 00 E
Foroyar (local name for Faroe Islands) ,Faroe Islands ,62 00 N ,7 00 W
Franz Josef Land (island group) ,Russia ,81 00 N ,55 00 E
Friendly Islands ,Tonga ,20 00 S ,175 00 W
Frisian Islands ,"Denmark, Germany, Netherlands ",53 35 N ,6 40 E
Futuna Islands (Hoorn Islands/Iles de Horne) ,Wallis and Futuna ,14 19 S ,178 05 W
Fyn (island) ,Denmark ,55 20 N ,10 25 E
Galapagos Islands (Archipielago de Colon) ,Ecuador ,0 00 N ,90 30 W
Gambier Islands (Iles Gambier) ,French Polynesia ,23 09 S ,134 58 W
George Town (capital) ,Cayman Islands ,19 20 N ,81 23 W
Gilbert Islands ,Kiribati ,1 25 N ,173 00 E
Gotland (island) ,Sweden ,57 30 N ,18 33 E
Gough Island ,Saint Helena ,40 20 S ,9 55 W
Grand Bahama (island) ,The Bahamas ,26 40 N ,78 35 W
Grand Cayman (island) ,Cayman Islands ,19 20 N ,81 20 W
Grand Turk (capital; also Cockburn Town) ,Turks and Caicos Islands ,21 28 N ,71 08 W
Great Britain (island) ,United Kingdom ,54 00 N ,2 00 W
Great Inagua (island) ,The Bahamas ,21 00 N ,73 20 W
Greater Sunda Islands ,"Brunei, Indonesia, Malaysia ",2 00 S ,110 00 E
Green Islands ,Papua New Guinea ,4 30 S ,154 10 E
"Grenadines, Northern (island group) ",Saint Vincent and the Grenadines ,13 15 N ,61 12 W
"Grenadines, Southern (island group) ",Grenada ,12 07 N ,61 40 W
Grytviken (town; on South Georgia) ,South Georgia and the South Sandwich Islands ,54 15 S ,36 45 W
Guadalcanal (island) ,Solomon Islands ,9 32 S ,160 12 E
"Guadalupe, Isla de (island) ",Mexico ,29 11 N ,118 17 W
Ha'apai Group (island group)  ,Tonga  ,19 42 S  ,174 29 W
Habomai Islands ,Russia (de facto) ,43 30 N ,146 10 E
Hainan Dao (island) ,China ,19 00 N ,109 30 E
Halmahera (island) ,Indonesia ,1 00 N ,128 00 E
Harvey Islands (former name for Cook Islands) ,Cook Islands ,21 14 S ,159 46 W
Hawaii (island) ,United States ,19 45 N ,155 45 W
Hawaiian Islands ,United States ,21 00 N ,157 45 W
Hawar (island) ,Bahrain ,25 40 N ,50 47 E
Heard Island ,Heard Island and McDonald Islands ,53 06 S ,73 30 E
Hiiumaa (island) ,Estonia ,58 50 N ,22 30 E
Hispaniola (island) ,"Dominican Republic, Haiti ",18 45 N ,71 00 W
Hokkaido (island) ,Japan ,44 00 N ,143 00 E
Honiara (capital) ,Solomon Islands ,9 26 S ,159 57 E
Honshu (island) ,Japan ,36 00 N ,138 00 E
"Horne, Iles de (island group) ",Wallis and Futuna ,14 19 S ,178 05 W
Hunter Island ,"New Caledonia, Vanuatu ",22 24 S ,172 06 E
Inaccessible Island ,Saint Helena ,37 17 S ,12 40 W
Inner Hebrides (islands) ,United Kingdom ,56 30 N ,6 20 W
Ionian Islands ,Greece ,38 30 N ,20 30 E
Island (local name for Iceland) ,Iceland ,65 00 N ,18 00 W
Islas Malvinas (island group) ,Falkland Islands (Islas Malvinas) ,51 45 S ,59 00 W
Iturup (island; see Etorofu) ,Russia (de facto) ,44 55 N ,147 40 E
Iwo Jima (island) ,Japan ,24 47 N ,141 20 E
Java (island) ,Indonesia ,7 30 S ,110 00 E
"Juan Fernandez, Islas de (island group) ",Chile ,33 00 S ,80 00 W
Kamaran (island) ,Yemen ,15 21 N ,42 34 E
Kanton Island ,Kiribati ,2 49 S ,171 40 W
Karafuto (island; former name for southern Sakhalin Island) ,Russia ,50 00 N ,143 00 E
Keeling Islands ,Cocos (Keeling) Islands ,12 30 S ,96 50 E
"Kerguelen, Iles (island group) ",French Southern and Antarctic Lands ,49 30 S ,69 30 E
Kermadec Islands ,New Zealand ,29 50 S ,178 15 W
Khios (island) ,Greece ,38 22 N ,26 04 E
Khuriya Muriya Islands (Kuria Muria Islands) ,Oman ,17 30 N ,56 00 E
Kingston (capital) ,Norfolk Island ,29 03 S ,167 58 E
Kiritimati (Christmas Island) ,Kiribati ,1 52 N ,157 20 W
Kodiak Island ,United States ,57 49 N ,152 23 W
Kosrae (island) ,Federated States of Micronesia ,5 20 N ,163 00 E
Kunashiri (island; also Kunashir) ,Russia (de facto) ,44 20 N ,146 00 E
Kuril Islands ,Russia (de facto) ,46 10 N ,152 00 E
Kwajalein Atoll ,Marshall Islands ,9 05 N ,167 20 E
Kyushu (island) ,Japan ,33 00 N ,131 00 E
Laccadive Islands ,India ,10 00 N ,73 00 E
Lakshadweep (Laccadive Islands) ,India ,10 00 N ,73 00 E
Lantau Island ,Hong Kong ,22 15 N ,113 55 E
Las Palmas (city) ,Spain (Canary Islands) ,28 06 N ,15 24 W
Lau Group (island group) ,Fiji ,18 20 S ,178 30 E
Lemnos (island) ,Greece ,39 54 N ,25 21 E
Lesser Sunda Islands ,Indonesia ,9 00 S ,120 00 E
Lesvos (island) ,Greece ,39 15 N ,26 15 E
Leyte (island) ,Philippines ,10 50 N ,124 50 E
Line Islands ,"Jarvis Island, Kingman Reef, Kiribati, Palmyra Atoll ",0 05 N ,157 00 W
Lombok (island) ,Indonesia ,8 28 S ,116 40 E
Lord Howe Island ,Australia ,31 30 S ,159 00 E
Loyalty Islands (Iles Loyaute) ,New Caledonia ,21 00 S ,167 00 E
Luzon (island) ,Philippines ,16 00 N ,121 00 E
Lyakhov Islands ,Russia ,73 45 N ,138 00 E
Macquarie Island ,Australia ,54 36 S ,158 54 E
Madeira Islands ,Portugal ,32 40 N ,16 45 W
Mahe Island ,Seychelles ,4 41 S ,55 30 E
"Maiz, Islas del (Corn Islands) ",Nicaragua ,12 15 N ,83 00 W
Majorca Island (Isla de Mallorca) ,Spain ,39 30 N ,3 00 E
Majuro (capital) ,Marshall Islands ,7 05 N ,171 08 E
"Mallorca, Isla de (island; also Majorca) ",Spain ,39 30 N ,3 00 E
"Malpelo, Isla de (island) ",Colombia ,4 00 N ,90 30 W
"Malvinas, Islas (island group) ",Falkland Islands (Islas Malvinas) ,51 45 S ,59 00 W
Manua Islands ,American Samoa ,14 13 S ,169 35 W
Marcus Island (Minami-tori-shima) ,Japan ,24 16 N ,154 00 E
"Margarita, Isla (island) ",Venezuela ,10 00 N ,64 00 W
Mariana Islands ,"Guam, Northern Mariana Islands ",16 00 N ,145 30 E
Marion Island ,South Africa ,46 51 S ,37 52 E
Marquesas Islands (Iles Marquises) ,French Polynesia ,9 00 S ,139 30 W
"Martin Vaz, Ilhas (island group) ",Brazil ,20 30 S ,28 51 W
Mas a Tierra (Robinson Crusoe Island) ,Chile ,33 38 S ,78 52 W
Mascarene Islands ,"Mauritius, Reunion ",21 00 S ,57 00 E
Matsu (island) ,Taiwan ,26 13 N ,119 56 E
Matthew Island ,"New Caledonia, Vanuatu ",22 20 S ,171 20 E
McDonald Islands ,Heard Island and McDonald Islands ,53 06 S ,73 30 E
Minami-tori-shima (Marcus Island) ,Japan ,24 16 N ,154 00 E
Mindanao (island) ,Philippines ,8 00 N ,125 00 E
Mindoro (island) ,Philippines ,12 50 N ,121 05 E
Minicoy Island ,India ,8 17 N ,73 02 E
Minorca Island (Isla de Menorca) ,Spain ,40 00 N ,4 00 E
Moluccas (Spice Islands) ,Indonesia ,2 00 S ,128 00 E
Mortlock Islands (Nomoi Islands) ,Federated States of Micronesia ,5 30 N ,153 40 E
Nampo-shoto (island group) ,Japan ,30 00 N ,140 00 E
Natuna Besar Islands ,Indonesia ,3 30 N ,102 30 E
Naxos (island) ,Greece ,37 05 N ,25 30 E
Negros (island) ,Philippines ,10 00 N ,123 00 E
Nevis (island) ,Saint Kitts and Nevis ,17 09 N ,62 35 W
New Britain (island) ,Papua New Guinea ,6 00 S ,150 00 E
New Guinea (island) ,"Indonesia, Papua New Guinea ",5 00 S ,140 00 E
New Hebrides (island group) ,Vanuatu ,16 00 S ,167 00 E
New Ireland (island) ,Papua New Guinea ,3 20 N ,152 00 E
New Siberian Islands ,Russia ,75 00 N ,142 00 E
"Newfoundland (island, with mainland area, and a province) ",Canada ,52 00 N ,56 00 W
Nicobar Islands ,India ,8 00 N ,93 30 E
Nightingale Island ,Saint Helena ,37 25 S ,12 30 W
Nomoi Islands (Mortlock Islands) ,Federated States of Micronesia ,5 30 N ,153 40 E
Norman Isles (Channel Islands) ,"Guernsey, Jersey ",49 20 N ,2 20 W
North Frisian Islands ,"Denmark, Germany ",54 50 N ,8 12 E
North Island ,New Zealand ,39 00 S ,176 00 E
Novaya Zemlya (islands) ,Russia ,74 00 N ,57 00 E
Oahu (island)  ,United States (Hawaii)  ,21 30 N  ,158 00 W
Ocean Island (Banaba) ,Kiribati ,0 52 S ,169 35 E
Ocean Island (Kure Island) ,United States ,28 25 N ,178 20 W
Oil Islands (Chagos Archipelago) ,British Indian Ocean Territory ,6 00 S ,71 30 E
Okinawa (island group) ,Japan ,26 30 N ,128 00 E
Oland (island) ,Sweden ,56 45 N ,16 40 E
Orkney Islands ,United Kingdom ,59 00 N ,3 00 W
Outer Hebrides (islands) ,United Kingdom ,57 45 N ,7 00 W
"Pacific Islands, Trust Territory of the (former name of a large area of the western North Pacific Ocean) ","Marshall Islands, Federated States of Micronesia, Northern Mariana Islands, Palau ",10 00 N ,155 00 E
Pagan (island) ,Northern Mariana Islands ,18 08 N ,145 47 E
Palawan (island) ,Philippines ,9 30 N ,118 30 E
Panay (island) ,Philippines ,11 15 N ,122 30 E
"Pantelleria, Isola di (island) ",Italy ,36 47 N ,12 00 E
Parece Vela (island) ,Japan ,20 20 N ,136 00 E
"Pascua, Isla de (Easter Island) ",Chile ,27 07 S ,109 22 W
"Passion, Ile de la (island) ",Clipperton Island ,10 17 N ,109 13 W
Pelagian Islands (Isole Pelagie) ,Italy ,35 40 N ,12 40 E
Peleliu (Beliliou) (island) ,Palau ,7 01 N ,134 15 E
Pemba Island ,Tanzania ,5 20 S ,39 45 E
Penang Island ,Malaysia ,5 23 N ,100 15 E
Perim (island) ,Yemen ,12 39 N ,43 25 E
Pescadores (islands) ,Taiwan ,23 30 N ,119 30 E
Peter I Island ,Antarctica ,68 48 S ,90 35 W
Philip Island ,Norfolk Island ,29 08 S ,167 57 E
Phoenix Islands ,Kiribati ,3 30 S ,172 00 W
"Pines, Isle of (island; former name for Isla de la Juventud) ",Cuba ,21 40 N ,82 50 W
Pleasant Island ,Nauru ,0 32 S ,166 55 E
Ponape (Pohnpei) (island) ,Federated States of Micronesia ,6 55 N ,158 15 E
Pribilof Islands ,United States ,57 00 N ,170 00 W
Prince Edward Island ,Canada ,46 20 N ,63 20 W
Prince Edward Islands ,South Africa ,46 35 S ,38 00 E
Prince Patrick Island ,Canada ,76 30 N ,119 00 W
Principe (island) ,Sao Tome and Principe ,1 38 N ,7 25 E
Pukapuka Atoll ,Cook Islands ,10 53 S ,165 49 W
Queen Charlotte Islands ,Canada ,53 00 N ,132 00 W
Queen Elizabeth Islands ,Canada ,78 00 N ,95 00 W
Quemoy (island) ,Taiwan ,24 27 N ,118 23 E
Ralik Chain (island group) ,Marshall Islands ,8 00 N ,167 00 E
Rapa Nui (Easter Island) ,Chile ,27 07 S ,109 22 W
Ratak Chain (island group) ,Marshall Islands ,9 00 N ,171 00 E
Redonda (island) ,Antigua and Barbuda ,16 55 N ,62 19 W
Revillagigedo Island ,United States (Alaska) ,55 35 N ,131 06 W
Revillagigedo Islands ,Mexico ,19 00 N ,112 45 W
Rhodes (island) ,Greece ,36 10 N ,28 00 E
Road Town (capital) ,British Virgin Islands ,18 27 N ,64 37 W
Robinson Crusoe Island (Mas a Tierra) ,Chile ,33 38 S ,78 52 W
"Rocas, Atol das (island) ",Brazil ,3 51 S ,33 49 W
Rockall (island) ,United Kingdom ,57 35 N ,13 48 W
Rodrigues (island) ,Mauritius ,19 42 S ,63 25 E
Roncador Cay (island) ,Colombia ,13 32 N ,80 03 W
Roosevelt Island ,Antarctica ,79 30 S ,162 00 W
Ross Island ,Antarctica ,81 30 S ,175 00 W
Rota (island) ,Northern Mariana Islands ,14 10 N ,145 12 E
Rotuma (island) ,Fiji ,12 30 S ,177 05 E
Ryukyu Islands ,Japan ,26 30 N ,128 00 E
Saaremaa (island) ,Estonia ,58 25 N ,22 30 E
Saba (island) ,Netherlands Antilles ,17 38 N ,63 10 W
Sable Island ,Canada ,43 55 N ,59 50 W
Safety Islands (Iles du Salut) ,French Guiana ,5 20 N ,52 37 W
Saint Christopher (island) ,Saint Kitts and Nevis ,17 20 N ,62 45 W
Saint Eustatius (island) ,Netherlands Antilles ,17 30 N ,63 00 W
Saint Helena Island ,Saint Helena ,15 57 S ,5 42 W
Saint Lawrence Island ,United States ,49 30 N ,67 00 W
Saint Paul Island ,Canada ,47 12 N ,60 09 W
Saint Paul Island ,United States ,57 11 N ,170 16 W
Saint Paul Island (Ile Saint-Paul) ,French Southern and Antarctic Lands ,38 43 S ,77 29 E
Saint Thomas (island) ,Virgin Islands ,18 21 N ,64 55 W
Saipan (island) ,Northern Mariana Islands ,15 12 N ,145 45 E
Sakhalin Island (Ostrov Sakhalin) ,Russia ,51 00 N ,143 00 E
Sakishima Islands ,Japan ,24 30 N ,124 00 E
"Sala y Gomez, Isla (island) ",Chile ,26 28 S ,105 00 W
Samar (island) ,Philippines ,12 00 N ,125 00 E
Samoa Islands ,"American Samoa, Samoa ",14 00 S ,171 00 W
Samos (island) ,Greece ,37 48 N ,26 44 E
"San Ambrosio, Isla (island) ",Chile ,26 21 S ,79 52 W
"San Andres y Providencia, Archipielago (island group) ",Colombia ,13 00 N ,81 30 W
"San Felix, Isla (island) ",Chile ,26 17 S ,80 05 W
Santa Cruz Islands ,Solomon Islands ,11 00 S ,166 15 E
Santo Antao (island) ,Cape Verde ,17 05 N ,25 10 W
Sao Tiago (island) ,Cape Verde ,15 05 N ,23 40 W
Sao Tome (island) ,Sao Tome and Principe ,0 12 N ,6 39 E
Sardinia (island) ,Italy ,40 00 N ,9 00 E
Sark (island) ,Guernsey ,49 26 N ,2 21 W
Savage Island (former name for Niue) ,Niue ,19 02 S ,169 52 W
Scott Island ,Antarctica ,67 24 S ,179 55 W
Senyavin Islands ,Federated States of Micronesia ,6 55 N ,158 00 E
"Settlement, The (capital) ",Christmas Island ,10 25 S ,105 43 E
Severnaya Zemlya (island group; also Northland) ,Russia ,79 30 N ,98 00 E
Shag Island ,Heard Island and McDonald Islands ,53 00 S ,72 30 E
Shag Rocks ,South Georgia and the South Sandwich Islands ,53 33 S ,42 02 W
Shetland Islands ,United Kingdom ,60 30 N ,1 30 W
Shikoku (island) ,Japan ,33 45 N ,133 30 E
Shikotan (island) ,Russia (de facto) ,43 47 N ,146 45 E
Sicily (island) ,Italy ,37 30 N ,14 00 E
Sint Eustatius (island) ,Netherlands Antilles ,17 29 N ,62 58 W
Sint Maarten (island; also Saint-Martin) ,Netherlands Antilles ,18 04 N ,63 04 W
Sjaelland (island) ,Denmark ,55 30 N ,12 00 E
Society Islands (Iles de la Societe) ,French Polynesia ,17 00 S ,150 00 W
Socotra (island) ,Yemen ,12 30 N ,54 00 E
"Solomon Islands, northern ",Papua New Guinea ,6 00 S ,155 00 E
"Solomon Islands, southern ",Solomon Islands ,8 00 S ,159 00 E
Somers Islands (former name for Bermuda) ,Bermuda ,32 20 N ,64 45 W
South Georgia (island) ,South Georgia and the South Sandwich Islands ,54 15 S ,36 45 W
South Island ,New Zealand ,43 00 S ,171 00 E
South Orkney Islands ,Antarctica ,61 00 S ,45 00 W
South Sandwich Islands ,South Georgia and the South Sandwich Islands ,57 45 S ,26 30 W
South Shetland Islands ,Antarctica ,62 00 S ,59 00 W
Southern Grenadines (island group) ,Grenada ,12 20 N ,61 30 W
Spice Islands (Moluccas) ,Indonesia ,2 00 S ,28 00 E
Spitsbergen (island) ,Svalbard ,78 00 N ,20 00 E
Stanley (capital) ,Falkland Islands (Islas Malvinas) ,51 42 S ,57 41 W
Sulawesi (island; Celebes) ,Indonesia ,2 00 S ,121 00 E
Sulu Archipelago (island group) ,Philippines ,6 00 N ,121 00 E
Sumatra (island) ,Indonesia ,0 00 N ,102 00 E
Sumba (island) ,Indonesia ,10 00 S ,120 00 E
Sumbawa (island) ,Indonesia ,8 30 S ,118 00 E
Sunda Islands (Soenda Isles) ,"Indonesia, Malaysia ",2 00 S ,110 00 E
Surtsey (volcanic island) ,Iceland ,63 17 N ,20 40 W
Swains Island ,American Samoa ,11 03 S ,171 15 W
Swan Islands ,Honduras ,17 25 S ,83 56 W
Tahiti (island) ,French Polynesia ,17 37 S ,149 27 W
Tarawa (island) ,Kiribati ,1 25 N ,173 00 E
Tasmania (island) ,Australia ,43 00 S ,147 00 E
Thurston Island ,Antarctica ,72 20 S ,99 00 W
"Tierra del Fuego (island, island group) ","Argentina, Chile ",54 00 S ,69 00 W
Timor (island) ,"Timor-Leste, Indonesia ",9 00 S ,125 00 E
Tinian (island) ,Northern Mariana Islands ,15 00 N ,145 38 E
Tobago (island) ,Trinidad and Tobago ,11 15 N ,60 40 W
Torshavn (capital) ,Faroe Islands ,62 01 N ,6 46 W
"Trindade, Ilha de (island) ",Brazil ,20 31 S ,29 20 W
Trinidad (island) ,Trinidad and Tobago ,10 22 N ,61 15 W
Tristan da Cunha Group (island group) ,Saint Helena ,37 15 S ,12 30 W
Trobriand Islands ,Papua New Guinea ,8 38 S ,151 04 E
Truk Islands (former name for the Chuuk Islands) ,Federated States of Micronesia ,7 25 N ,151 47 E
Tuamotu Islands (Iles Tuamotu) ,French Polynesia ,19 00 S ,142 00 W
Tubuai Islands (Iles Tubuai) ,French Polynesia ,23 00 S ,150 00 W
Tunb al Kubra (island) ,Iran ,26 14 N ,55 19 E
Tunb as Sughra (island) ,Iran ,26 14 N ,55 09 E
Turks Island Passage ,Atlantic Ocean ,21 40 N ,71 00 W
Tutuila (island) ,American Samoa ,14 18 S ,170 42 W
Ullung-do (island) ,South Korea ,37 29 N ,130 52 E
Vancouver Island ,Canada ,49 45 N ,126 00 W
"Velez de la Gomera, Penon de (island) ",Spain ,35 11 N ,4 18 W
Verde Island Passage ,Pacific Ocean ,13 34 N ,120 51 E
Victoria (island) ,Canada ,71 00 N ,110 00 W
Viti Levu (island) ,Fiji ,18 00 S ,178 00 E
Volcano Islands ,Japan ,25 00 N ,141 00 E
Vostok Island ,Kiribati ,10 06 S ,152 23 W
Wake Atoll  ,Wake Island  ,19 17 N  ,166 39 E
Wallis Islands ,Wallis and Futuna ,13 17 S ,176 10 W
West Frisian Islands ,Netherlands ,53 26 N ,5 30 E
West Island (capital) ,Cocos (Keeling) Islands ,12 10 S ,96 55 E
